# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6102347960
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  ........  .................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.19%  wasmtime  wasmtime           [.] <F as wasmtime::func::IntoFunc<T,(wasmtime::func::Caller<T>,A1,A2,A3,A4),R>>::into_func::wasm_to_host_shim::{{closure}}::{{closure}}
     0.19%  wasmtime  wasmtime           [.] core::ptr::non_null::NonNull<T>::new
     0.19%  wasmtime  wasmtime           [.] wiggle::run_in_dummy_executor
     0.19%  wasmtime  wasmtime           [.] tracing::span::Span::log
     0.19%  wasmtime  [kernel.kallsyms]  [k] unload_network_ops_symbols
     0.19%  wasmtime  wasmtime           [.] wiggle::run_in_dummy_executor
     0.19%  wasmtime  wasmtime           [.] __rdl_alloc
     0.19%  wasmtime  wasmtime           [.] core::mem::replace
     0.19%  wasmtime  [kernel.kallsyms]  [k] down_read
     0.19%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to
     0.19%  wasmtime  [kernel.kallsyms]  [k] cshook_security_file_free_security
     0.18%  wasmtime  wasmtime           [.] core::hash::impls::<impl core::hash::Hash for usize>::hash
     0.18%  wasmtime  wasmtime           [.] wasmtime::memory::Memory::data_mut
     0.18%  wasmtime  wasmtime           [.] alloc::alloc::Global::alloc_impl
     0.18%  wasmtime  wasmtime           [.] core::num::<impl u32>::checked_mul
     0.18%  wasmtime  [kernel.kallsyms]  [k] unload_network_ops_symbols
     0.18%  wasmtime  wasmtime           [.] <F as wasmtime::func::IntoFunc<T,(wasmtime::func::Caller<T>,A1,A2,A3,A4),R>>::into_func::wasm_to_host_shim::{{closure}}
     0.18%  wasmtime  wasmtime           [.] <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
     0.18%  wasmtime  wasmtime           [.] core::cmp::Ord::min
     0.17%  wasmtime  wasmtime           [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::finish
     0.17%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to_offsets
     0.17%  wasmtime  wasmtime           [.] <tracing::instrument::Instrumented<T> as core::future::future::Future>::poll
     0.17%  wasmtime  wasmtime           [.] alloc::alloc::box_free
     0.17%  wasmtime  wasmtime           [.] std::thread::local::fast::Key<T>::get
     0.17%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to
     0.17%  wasmtime  wasmtime           [.] wasmtime::func::Caller<T>::get_export
     0.17%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTableInner<A>::find_inner
     0.17%  wasmtime  wasmtime           [.] <wasmtime::store::data::StoreData as core::ops::index::Index<wasmtime::store::data::Stored<T>>>::index
     0.17%  wasmtime  [kernel.kallsyms]  [k] ext4_da_map_blocks.constprop.0
     0.16%  wasmtime  wasmtime           [.] <wasmtime::store::StoreInner<T> as core::ops::deref::Deref>::deref
     0.16%  wasmtime  wasmtime           [.] core::option::Option<T>::ok_or
     0.16%  wasmtime  wasmtime           [.] <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get
     0.16%  wasmtime  wasmtime           [.] <wasmtime::store::data::StoreData as core::ops::index::Index<wasmtime::store::data::Stored<T>>>::index
     0.16%  wasmtime  [kernel.kallsyms]  [k] __ext4_get_inode_loc
     0.16%  wasmtime  wasmtime           [.] wasi_common::table::Table::get
     0.16%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.16%  wasmtime  wasmtime           [.] <hashbrown::raw::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
     0.16%  wasmtime  wasmtime           [.] <tracing_core::field::Iter as core::iter::traits::iterator::Iterator>::next
     0.16%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.16%  wasmtime  wasmtime           [.] core::mem::swap_simple
     0.16%  wasmtime  wasmtime           [.] <T as wasmtime::func::WasmRet>::compatible_with_store
     0.16%  wasmtime  [kernel.kallsyms]  [k] crowdstrike_probe_sched_process_exec
     0.16%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::find_insert_slot
     0.16%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::erase
     0.15%  wasmtime  [kernel.kallsyms]  [k] block_invalidatepage
     0.15%  wasmtime  [kernel.kallsyms]  [k] kmem_cache_free
     0.15%  wasmtime  [kernel.kallsyms]  [k] node_dirty_ok
     0.15%  wasmtime  wasmtime           [.] <wasi_cap_std_sync::file::File as wasi_common::file::WasiFile>::read_vectored::{{closure}}
     0.15%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<tracing::span::Span>
     0.15%  wasmtime  wasmtime           [.] <F as wasmtime::func::IntoFunc<T,(wasmtime::func::Caller<T>,A1,A2,A3,A4),R>>::into_func::wasm_to_host_shim
     0.15%  wasmtime  libc-2.31.so       [.] free
     0.15%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTableInner<A>::probe_seq
     0.15%  wasmtime  [kernel.kallsyms]  [k] unload_network_ops_symbols
     0.15%  wasmtime  [kernel.kallsyms]  [k] iov_iter_fault_in_readable
     0.15%  wasmtime  wasmtime           [.] core::cmp::Ord::min
     0.15%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::is_null
     0.14%  wasmtime  wasmtime           [.] wiggle::validate_size_align
     0.14%  wasmtime  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.14%  wasmtime  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.13%  wasmtime  wasmtime           [.] indexmap::map::core::IndexMapCore<K,V>::len
     0.13%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::Instance::vmctx_plus_offset
     0.13%  wasmtime  wasmtime           [.] tracing::span::Span::record_all
     0.13%  wasmtime  wasmtime           [.] wasmtime::instance::Instance::get_export
     0.13%  wasmtime  wasmtime           [.] <F as wasmtime::func::IntoFunc<T,(wasmtime::func::Caller<T>,A1,A2,A3,A4),R>>::into_func::wasm_to_host_shim::{{closure}}
     0.13%  wasmtime  wasmtime           [.] <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     0.13%  wasmtime  wasmtime           [.] core::mem::replace
     0.13%  wasmtime  wasmtime           [.] <std::collections::hash::map::DefaultHasher as core::hash::Hasher>::write_str
     0.13%  wasmtime  wasmtime           [.] std::panicking::try
     0.13%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.13%  wasmtime  wasmtime           [.] core::hash::sip::u8to64_le
     0.13%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::reserve_rehash
     0.13%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_write::{{closure}}::{{closure}}
     0.13%  wasmtime  wasmtime           [.] core::option::Option<&T>::cloned
     0.13%  wasmtime  wasmtime           [.] std::sync::mutex::Mutex<T>::lock
     0.13%  wasmtime  wasmtime           [.] core::option::Option<T>::and_then
     0.13%  wasmtime  wasmtime           [.] wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker::{{closure}}
     0.13%  wasmtime  wasmtime           [.] core::slice::cmp::<impl core::cmp::PartialEq<[B]> for [A]>::eq
     0.13%  wasmtime  wasmtime           [.] core::any::TypeId::of
     0.13%  wasmtime  wasmtime           [.] core::num::<impl usize>::checked_mul
     0.13%  wasmtime  wasmtime           [.] core::cmp::Ord::max
     0.13%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::cell::UnsafeCell<wiggle::borrow::InnerBorrowChecker>>
     0.13%  wasmtime  [kernel.kallsyms]  [k] xas_find_conflict
     0.13%  wasmtime  wasmtime           [.] <wasmtime::store::context::StoreContextMut<T> as wasmtime::store::context::AsContextMut>::as_context_mut
     0.13%  wasmtime  wasmtime           [.] <core::pin::Pin<P> as core::future::future::Future>::poll
     0.13%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.13%  wasmtime  wasmtime           [.] <wasi_common::file::FileEntry as wasi_common::file::FileEntryExt>::get_cap
     0.13%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::error::GuestError>
     0.13%  wasmtime  wasmtime           [.] sha2::sha256::soft::sha256msg1
     0.13%  wasmtime  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.13%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_compare_exchange_weak
     0.13%  wasmtime  [kernel.kallsyms]  [k] generic_perform_write
     0.13%  wasmtime  wasmtime           [.] wiggle::validate_size_align
     0.12%  wasmtime  wasmtime           [.] <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     0.12%  wasmtime  wasmtime           [.] <u32 as wiggle::guest_type::GuestType>::write
     0.12%  wasmtime  wasmtime           [.] <wasmtime::store::StoreInner<T> as core::ops::deref::DerefMut>::deref_mut
     0.12%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.12%  wasmtime  wasmtime           [.] <std::fs::File as std::os::fd::owned::AsFd>::as_fd
     0.12%  wasmtime  wasmtime           [.] core::hash::impls::<impl core::hash::Hash for &T>::hash
     0.12%  wasmtime  [kernel.kallsyms]  [k] ext4_da_write_begin
     0.12%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::add
     0.12%  wasmtime  wasmtime           [.] <core::panic::unwind_safe::AssertUnwindSafe<F> as core::ops::function::FnOnce<()>>::call_once
     0.12%  wasmtime  wasmtime           [.] hashbrown::raw::TableLayout::calculate_layout_for
     0.12%  wasmtime  [kernel.kallsyms]  [k] pinnedhook_security_file_permission
     0.12%  wasmtime  wasmtime           [.] hashbrown::raw::Bucket<T>::from_base_index
     0.12%  wasmtime  [kernel.kallsyms]  [k] copy_page_to_iter
     0.12%  wasmtime  wasmtime           [.] core::option::Option<T>::as_ref
     0.12%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_load
     0.12%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<std::sync::mutex::Mutex<wiggle::borrow::InnerBorrowChecker>>
     0.12%  wasmtime  wasmtime           [.] core::ops::function::FnOnce::call_once
     0.12%  wasmtime  wasmtime           [.] std::sys::unix::locks::futex_rwlock::RwLock::read
     0.12%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_write
     0.12%  wasmtime  [kernel.kallsyms]  [k] memcg_kmem_get_cache
     0.12%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::Instance::host_state
     0.12%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::borrow::BorrowChecker>
     0.12%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.12%  wasmtime  wasmtime           [.] wasmtime::memory::Memory::data_and_store_mut
     0.12%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::get
     0.12%  wasmtime  wasmtime           [.] std::panicking::try::do_call
     0.12%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.12%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::Instance::offsets
     0.12%  wasmtime  wasmtime           [.] tracing_core::metadata::Metadata::name
     0.12%  wasmtime  [kernel.kallsyms]  [k] map_id_up
     0.12%  wasmtime  [kernel.kallsyms]  [k] fget
     0.12%  wasmtime  [kernel.kallsyms]  [k] drop_buffers
     0.12%  wasmtime  [kernel.kallsyms]  [k] _cond_resched
     0.11%  wasmtime  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.11%  wasmtime  [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.11%  wasmtime  wasmtime           [.] core::slice::raw::from_raw_parts
     0.11%  wasmtime  wasmtime           [.] std::panic::catch_unwind
     0.11%  wasmtime  wasmtime           [.] core::option::Option<T>::ok_or
     0.11%  wasmtime  [kernel.kallsyms]  [k] __mark_inode_dirty
     0.11%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to_offsets
     0.11%  wasmtime  wasmtime           [.] __rust_try
     0.11%  wasmtime  wasmtime           [.] wasmtime::store::data::Stored<T>::assert_belongs_to
     0.11%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::option::Option<wasmtime::externals::Extern>>
     0.11%  wasmtime  wasmtime           [.] <wiggle::wasmtime::WasmtimeGuestMemory as wiggle::GuestMemory>::is_shared_borrowed
     0.11%  wasmtime  [kernel.kallsyms]  [k] security_file_permission
     0.11%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.11%  wasmtime  wasmtime           [.] <core::result::Result<T,anyhow::Error> as wasmtime::func::WasmRet>::into_fallible
     0.11%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.11%  wasmtime  wasmtime           [.] core::future::get_context
     0.11%  wasmtime  wasmtime           [.] <core::pin::Pin<P> as core::future::future::Future>::poll
     0.11%  wasmtime  wasmtime           [.] <core::option::Option<T> as core::ops::try_trait::Try>::branch
     0.11%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.11%  wasmtime  wasmtime           [.] core::array::<impl core::borrow::Borrow<[T]> for [T; N]>::borrow
     0.11%  wasmtime  [kernel.kallsyms]  [k] common_file_perm
     0.11%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_cmpeq_epi8
     0.11%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::split_at_unchecked
     0.11%  wasmtime  wasmtime           [.] wasmtime_runtime::vmcontext::vm_host_func_context::VMHostFuncContext::from_opaque
     0.11%  wasmtime  wasmtime           [.] <wasmtime::module::ModuleInner as wasmtime_runtime::ModuleRuntimeInfo>::offsets
     0.11%  wasmtime  wasmtime           [.] wasmtime::store::StoreInner<T>::call_hook
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::inner::h2
     0.11%  wasmtime  wasmtime           [.] tracing_core::field::FieldSet::callsite
     0.11%  wasmtime  [kernel.kallsyms]  [k] ext4_inode_csum.isra.0
     0.11%  wasmtime  wasmtime           [.] <i32 as wasmtime::func::typed::WasmTy>::compatible_with_store
     0.11%  wasmtime  libc-2.31.so       [.] pthread_setcanceltype
     0.11%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::RawIterRange<T>::new
     0.11%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.11%  wasmtime  [kernel.kallsyms]  [k] rcu_all_qs
     0.11%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_movemask_epi8
     0.11%  wasmtime  wasmtime           [.] core::cmp::Ord::min
     0.11%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to_offsets
     0.11%  wasmtime  wasmtime           [.] wasmtime::func::Caller<T>::with
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::inner::Bucket<T>::from_base_index
     0.11%  wasmtime  wasmtime           [.] alloc::sync::Arc<dyn core::any::Any+core::marker::Send+core::marker::Sync>::downcast
     0.11%  wasmtime  wasmtime           [.] core::any::TypeId::of
     0.11%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_movemask_epi8
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::fallible_with_capacity
     0.11%  wasmtime  wasmtime           [.] wiggle::GuestPtr<[T]>::iter
     0.11%  wasmtime  [kernel.kallsyms]  [k] pinnedhook_security_file_permission
     0.11%  wasmtime  wasmtime           [.] <T as core::any::Any>::type_id
     0.11%  wasmtime  [kernel.kallsyms]  [k] pinnedhook_security_file_permission
     0.11%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::len
     0.11%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.11%  wasmtime  wasmtime           [.] hashbrown::raw::inner::Bucket<T>::as_ptr
     0.11%  wasmtime  wasmtime           [.] <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
     0.11%  wasmtime  [kernel.kallsyms]  [k] ext4_invalidatepage
     0.10%  wasmtime  [kernel.kallsyms]  [k] xas_start
     0.10%  wasmtime  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.10%  wasmtime  wasmtime           [.] core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from::{{closure}}
     0.10%  wasmtime  wasmtime           [.] std::sync::rwlock::RwLock<T>::read
     0.10%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     0.10%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_set_epi8
     0.10%  wasmtime  wasmtime           [.] std::thread::local::LocalKey<T>::with
     0.10%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::data_end
     0.10%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.10%  wasmtime  [kernel.kallsyms]  [k] do_iter_readv_writev
     0.10%  wasmtime  [kernel.kallsyms]  [k] node_page_state
     0.10%  wasmtime  [kernel.kallsyms]  [k] page_counter_try_charge
     0.10%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasmtime::externals::Extern>
     0.10%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::insert
     0.10%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     0.10%  wasmtime  [kernel.kallsyms]  [k] cshook_systemcalltable_pre_compat_sys_ioctl
     0.10%  wasmtime  wasmtime           [.] tracing_core::field::FieldSet::value_set
     0.10%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::Instance::store
     0.10%  wasmtime  wasmtime           [.] core::num::<impl u32>::checked_mul
     0.10%  wasmtime  libc-2.31.so       [.] readv
     0.10%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::Instance::module
     0.10%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::find::{{closure}}
     0.10%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.10%  wasmtime  wasmtime           [.] wasmtime::store::data::StoreId::assert_belongs_to
     0.10%  wasmtime  wasmtime           [.] core::result::Result<T,E>::map_err
     0.10%  wasmtime  wasmtime           [.] wasmtime::store::StoreOpaque::store_data
     0.10%  wasmtime  wasmtime           [.] indexmap::map::core::IndexMapCore<K,V>::get_index_of
     0.10%  wasmtime  [kernel.kallsyms]  [k] start_this_handle
     0.10%  wasmtime  wasmtime           [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write_str
     0.10%  wasmtime  wasmtime           [.] <std::sync::mutex::MutexGuard<T> as core::ops::drop::Drop>::drop
     0.10%  wasmtime  wasmtime           [.] io_lifetimes::views::FilelikeView<Target>::new
     0.10%  wasmtime  wasmtime           [.] core::future::get_context
     0.10%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     0.10%  wasmtime  wasmtime           [.] <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
     0.10%  wasmtime  wasmtime           [.] core::any::TypeId::of
     0.10%  wasmtime  wasmtime           [.] <wiggle::GuestPtr<T> as wiggle::guest_type::GuestType>::read
     0.10%  wasmtime  [kernel.kallsyms]  [k] acquire_rundown
     0.10%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::vec::Vec<std::io::IoSliceMut>>
     0.10%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTableInner<A>::num_ctrl_bytes
     0.10%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     0.10%  wasmtime  wasmtime           [.] core::option::Option<T>::as_mut
