# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6102347960
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  ........  .................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  wasmtime  wasmtime           [.] core::future::identity_future
     0.10%  wasmtime  wasmtime           [.] wiggle::GuestPtr<[T]>::as_unsafe_slice_mut
     0.10%  wasmtime  wasmtime           [.] alloc::alloc::exchange_malloc
     0.10%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.10%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.10%  wasmtime  wasmtime           [.] <wasmtime::externals::Extern as core::clone::Clone>::clone
     0.10%  wasmtime  wasmtime           [.] wasmtime::types::MemoryType::from_wasmtime_memory
     0.10%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
     0.10%  wasmtime  wasmtime           [.] <T as system_interface::io::io_ext::IoExt>::read_vectored
     0.10%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_trusted
     0.10%  wasmtime  wasmtime           [.] core::slice::<impl [T]>::align_to_offsets::gcd
     0.10%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.10%  wasmtime  wasmtime           [.] <io_lifetimes::views::FilelikeView<Target> as core::ops::deref::Deref>::deref
     0.10%  wasmtime  [kernel.kallsyms]  [k] get_page_from_freelist
     0.10%  wasmtime  wasmtime           [.] <wiggle::GuestSlice<T> as core::ops::drop::Drop>::drop
     0.10%  wasmtime  wasmtime           [.] wasmtime_runtime::instance::InstanceHandle::host_state
     0.10%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.10%  wasmtime  wasmtime           [.] <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
     0.10%  wasmtime  wasmtime           [.] core::ptr::align_offset
     0.10%  wasmtime  wasmtime           [.] core::iter::adapters::try_process
     0.10%  wasmtime  wasmtime           [.] core::iter::adapters::try_process
     0.10%  wasmtime  wasmtime           [.] hashbrown::raw::inner::RawTable<T,A>::bucket
     0.10%  wasmtime  wasmtime           [.] <wiggle::BorrowHandle as core::hash::Hash>::hash
     0.09%  wasmtime  [kernel.kallsyms]  [k] __mod_memcg_state
     0.09%  wasmtime  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.09%  wasmtime  [kernel.kallsyms]  [k] release_pages
     0.09%  wasmtime  [kernel.kallsyms]  [k] __mod_node_page_state
     0.09%  wasmtime  [kernel.kallsyms]  [k] __lock_text_start
     0.09%  wasmtime  wasmtime           [.] core::result::Result<T,E>::unwrap
     0.09%  wasmtime  wasmtime           [.] <wasi_cap_std_sync::file::File as wasi_common::file::WasiFile>::write_vectored::{{closure}}
     0.09%  wasmtime  [kernel.kallsyms]  [k] cshook_security_file_permission
     0.09%  wasmtime  [kernel.kallsyms]  [k] ext4_journal_check_start
     0.09%  wasmtime  wasmtime           [.] std::panicking::try::do_call
     0.09%  wasmtime  wasmtime           [.] std::collections::hash::map::RandomState::new::{{closure}}
     0.09%  wasmtime  wasmtime           [.] hashbrown::raw::inner::sse2::Group::load
     0.09%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.09%  wasmtime  wasmtime           [.] wasi_common::ctx::WasiCtx::table
     0.09%  wasmtime  wasmtime           [.] core::option::Option<T>::is_some
     0.09%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::erase_no_drop
     0.09%  wasmtime  wasmtime           [.] wasmtime::func::Caller<T>::with
     0.09%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V,S>::is_empty
     0.09%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.09%  wasmtime  wasmtime           [.] core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
     0.09%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialOrd for usize>::lt
     0.09%  wasmtime  [kernel.kallsyms]  [k] do_writev
     0.09%  wasmtime  [kernel.kallsyms]  [k] release_rundown
     0.09%  wasmtime  wasmtime           [.] core::slice::iter::Iter<T>::new
     0.09%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.09%  wasmtime  wasmtime           [.] <wasi_common::snapshots::preview_1::types::Fd as core::convert::From<i32>>::from
     0.09%  wasmtime  wasmtime           [.] core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::size_hint
     0.09%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::collect
     0.09%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<tracing::span::Entered>
     0.09%  wasmtime  [kernel.kallsyms]  [k] clear_page_dirty_for_io
     0.09%  wasmtime  wasmtime           [.] wiggle::borrow::BorrowChecker::shared_unborrow
     0.09%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::try_fold
     0.09%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.09%  wasmtime  wasmtime           [.] <wasmtime::func::Caller<T> as wasmtime::store::context::AsContextMut>::as_context_mut
     0.09%  wasmtime  wasmtime           [.] core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
     0.09%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<std::sync::mutex::MutexGuard<wiggle::borrow::InnerBorrowChecker>>
     0.09%  wasmtime  [kernel.kallsyms]  [k] crypto_shash_update
     0.09%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::next
     0.09%  wasmtime  wasmtime           [.] wasmtime::store::data::<impl core::ops::index::Index<I> for wasmtime::store::StoreOpaque>::index
     0.09%  wasmtime  wasmtime           [.] core::convert::num::ptr_try_from_impls::<impl core::convert::TryFrom<u32> for usize>::try_from
     0.09%  wasmtime  wasmtime           [.] <indexmap::map::IndexMap<K,V,S> as indexmap::Entries>::as_entries
     0.09%  wasmtime  wasmtime           [.] <T as io_lifetimes::portability::FromFilelike>::from_filelike
     0.09%  wasmtime  wasmtime           [.] alloc::alloc::Global::alloc_impl
     0.09%  wasmtime  wasmtime           [.] <core::option::Option<T> as core::ops::try_trait::Try>::branch
     0.09%  wasmtime  [kernel.kallsyms]  [k] ext4_da_reserve_space
     0.09%  wasmtime  wasmtime           [.] wasmtime_runtime::vmcontext::vm_host_func_context::VMHostFuncContext::host_state
     0.08%  wasmtime  wasmtime           [.] <&std::fs::File as std::io::Read>::read_vectored
     0.08%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wiggle::borrow::InnerBorrowChecker>
     0.08%  wasmtime  wasmtime           [.] wasm_to_host_trampoline
     0.08%  wasmtime  wasmtime           [.] <wiggle::wasmtime::WasmtimeGuestMemory as wiggle::GuestMemory>::base
     0.08%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<std::sync::rwlock::RwLockReadGuard<wasi_common::file::FileCaps>>
     0.08%  wasmtime  wasmtime           [.] <T as core::convert::Into<U>>::into
     0.08%  wasmtime  wasmtime           [.] <wasmtime::instance::InstanceData as wasmtime::store::data::StoredData>::list
     0.08%  wasmtime  wasmtime           [.] tracing::span::Span::log
     0.08%  wasmtime  wasmtime           [.] wasmtime_jit::instantiate::CompiledModule::module
     0.08%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::cast
     0.08%  wasmtime  wasmtime           [.] core::result::Result<T,E>::and_then
     0.08%  wasmtime  wasmtime           [.] std::sys::unix::locks::futex_mutex::Mutex::unlock
     0.08%  wasmtime  wasmtime           [.] <dyn core::any::Any+core::marker::Send+core::marker::Sync>::is
     0.08%  wasmtime  [kernel.kallsyms]  [k] create_empty_buffers
     0.08%  wasmtime  [kernel.kallsyms]  [k] fsnotify
     0.08%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<u64,wasi_common::snapshots::preview_1::types::Error>+core::marker::Send>>
     0.08%  wasmtime  wasmtime           [.] <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     0.08%  wasmtime  wasmtime           [.] core::iter::adapters::map::map_try_fold::{{closure}}
     0.08%  wasmtime  wasmtime           [.] <u32 as wiggle::guest_type::GuestType>::guest_size
     0.08%  wasmtime  wasmtime           [.] tracing_core::metadata::Metadata::fields
     0.08%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicUsize::load
     0.08%  wasmtime  wasmtime           [.] <std::process::ExitStatus as std::sys_common::AsInner<std::sys::unix::process::process_inner::ExitStatus>>::as_inner
     0.08%  wasmtime  [kernel.kallsyms]  [k] workingset_update_node
     0.08%  wasmtime  [kernel.kallsyms]  [k] truncate_cleanup_page
     0.08%  wasmtime  [kernel.kallsyms]  [k] jbd2_journal_grab_journal_head
     0.07%  wasmtime  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.07%  wasmtime  [kernel.kallsyms]  [k] find_get_pages_range_tag
     0.07%  wasmtime  [kernel.kallsyms]  [k] xas_set_mark
     0.07%  wasmtime  wasmtime           [.] core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
     0.07%  wasmtime  [kernel.kallsyms]  [k] ext4_es_lookup_extent
     0.07%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::is_empty
     0.07%  wasmtime  [kernel.kallsyms]  [k] cshook_systemcalltable_post_writev
     0.07%  wasmtime  wasmtime           [.] std::sys_common::net::UdpSocket::into_socket
     0.07%  wasmtime  wasmtime           [.] core::slice::raw::from_raw_parts_mut
     0.07%  wasmtime  wasmtime           [.] std::panicking::try
     0.07%  wasmtime  wasmtime           [.] <wasmtime::module::ModuleInner as wasmtime_runtime::ModuleRuntimeInfo>::module
     0.07%  wasmtime  wasmtime           [.] wiggle::wasmtime::WasmtimeGuestMemory::new
     0.07%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::mut_borrow
     0.07%  wasmtime  [kernel.kallsyms]  [k] jbd2_journal_stop
     0.07%  wasmtime  wasmtime           [.] core::mem::replace
     0.07%  wasmtime  wasmtime           [.] core::str::traits::<impl core::cmp::PartialEq for str>::eq
     0.07%  wasmtime  wasmtime           [.] core::hash::impls::<impl core::hash::Hash for &T>::hash
     0.07%  wasmtime  wasmtime           [.] std::panic::catch_unwind
     0.07%  wasmtime  wasmtime           [.] <T as core::convert::Into<U>>::into
     0.07%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_add
     0.07%  wasmtime  [kernel.kallsyms]  [k] ext4_da_write_end
     0.07%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::find
     0.07%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
     0.07%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read
     0.07%  wasmtime  wasmtime           [.] alloc::vec::Vec<T,A>::extend_desugared
     0.07%  wasmtime  wasmtime           [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.07%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::current_memory
     0.07%  wasmtime  wasmtime           [.] std::sync::poison::map_result
     0.07%  wasmtime  [kernel.kallsyms]  [k] __fsnotify_parent
     0.07%  wasmtime  [kernel.kallsyms]  [k] prep_new_page
     0.07%  wasmtime  wasmtime           [.] hashbrown::raw::Bucket<T>::to_base_index
     0.07%  wasmtime  wasmtime           [.] <tracing::instrument::Instrumented<T> as core::future::future::Future>::poll
     0.07%  wasmtime  wasmtime           [.] <alloc::vec::set_len_on_drop::SetLenOnDrop as core::ops::drop::Drop>::drop
     0.07%  wasmtime  wasmtime           [.] alloc::alloc::box_free
     0.07%  wasmtime  wasmtime           [.] alloc::str::<impl core::borrow::Borrow<str> for alloc::string::String>::borrow
     0.07%  wasmtime  wasmtime           [.] <core::num::nonzero::NonZeroU64 as core::cmp::PartialEq>::eq
     0.07%  wasmtime  wasmtime           [.] core::cmp::Ord::min
     0.07%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.07%  wasmtime  wasmtime           [.] <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     0.07%  wasmtime  wasmtime           [.] wasmtime_cli::commands::run::populate_with_wasi::{{closure}}
     0.07%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::current_memory
     0.07%  wasmtime  wasmtime           [.] wiggle::GuestPtr<[T]>::as_slice_mut
     0.07%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.07%  wasmtime  wasmtime           [.] <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     0.07%  wasmtime  wasmtime           [.] core::num::<impl usize>::checked_add
     0.07%  wasmtime  wasmtime           [.] wiggle::borrow::InnerBorrowChecker::new
     0.07%  wasmtime  wasmtime           [.] <usize as core::slice::index::SliceIndex<[T]>>::get_unchecked
     0.07%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::offset_from
     0.07%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<std::collections::hash::map::HashMap<wiggle::BorrowHandle,wiggle::region::Region>>
     0.07%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::next
     0.07%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_loadu_si128
     0.07%  wasmtime  wasmtime           [.] wiggle::UnsafeGuestSlice<T>::as_slice_mut
     0.07%  wasmtime  wasmtime           [.] <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get
     0.07%  wasmtime  wasmtime           [.] std::sync::poison::map_result
     0.07%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::alloc::Allocator>::allocate
     0.07%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.07%  wasmtime  wasmtime           [.] std::sys::unix::locks::futex_mutex::Mutex::lock
     0.07%  wasmtime  wasmtime           [.] <F as wasmtime::func::IntoFunc<T,(wasmtime::func::Caller<T>,A1,A2,A3,A4),R>>::into_func::wasm_to_host_shim
     0.07%  wasmtime  [kernel.kallsyms]  [k] __block_commit_write.isra.0
     0.07%  wasmtime  wasmtime           [.] wiggle::run_in_dummy_executor::dummy_waker
     0.07%  wasmtime  wasmtime           [.] wasmtime_environ::vmoffsets::VMOffsets<P>::vmctx_store
     0.07%  wasmtime  wasmtime           [.] <wasi_common::ctx::WasiCtx as core::ops::deref::Deref>::deref
     0.07%  wasmtime  wasmtime           [.] <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     0.07%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.07%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.07%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::vec::Vec<wiggle::GuestSliceMut<u8>>>
     0.07%  wasmtime  wasmtime           [.] core::fmt::ArgumentV1::new_display
     0.07%  wasmtime  wasmtime           [.] io_lifetimes::views::FilelikeView<Target>::view_raw
     0.07%  wasmtime  wasmtime           [.] alloc::alloc::Global::alloc_impl
     0.07%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::size_hint
     0.07%  wasmtime  wasmtime           [.] <F as core::future::into_future::IntoFuture>::into_future
     0.07%  wasmtime  wasmtime           [.] hashbrown::raw::sse2::Group::match_byte
     0.07%  wasmtime  [kernel.kallsyms]  [k] PageHuge
     0.07%  wasmtime  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics
     0.07%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     0.07%  wasmtime  wasmtime           [.] wiggle::borrow::BorrowChecker::is_mut_borrowed
     0.07%  wasmtime  wasmtime           [.] hashbrown::map::make_hash
     0.07%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<tracing::instrument::Instrumented<wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_read<wasi_common::ctx::WasiCtx>::{{closure}}>>
     0.07%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.07%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::prepare_resize
     0.07%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<io_lifetimes::views::FilelikeView<std::fs::File>>
     0.07%  wasmtime  wasmtime           [.] core::iter::traits::iterator::Iterator::try_fold
     0.07%  wasmtime  wasmtime           [.] std::sync::rwlock::RwLockReadGuard<T>::new
     0.07%  wasmtime  wasmtime           [.] core::ptr::const_ptr::<impl *const T>::offset_from
     0.07%  wasmtime  [kernel.kallsyms]  [k] __es_remove_extent
     0.07%  wasmtime  wasmtime           [.] hashbrown::raw::inner::Bucket<T>::as_ref
     0.07%  wasmtime  wasmtime           [.] core::option::Option<T>::expect
     0.07%  wasmtime  wasmtime           [.] <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     0.07%  wasmtime  [kernel.kallsyms]  [k] unlock_page
     0.07%  wasmtime  wasmtime           [.] <T as core::convert::TryInto<U>>::try_into
     0.07%  wasmtime  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.06%  wasmtime  [kernel.kallsyms]  [k] xas_clear_mark
     0.06%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     0.06%  wasmtime  wasmtime           [.] <std::collections::hash::map::RandomState as core::hash::BuildHasher>::build_hasher
     0.06%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
     0.06%  wasmtime  wasmtime           [.] core::hash::BuildHasher::hash_one
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_write<wasi_common::ctx::WasiCtx>::{{closure}}>
     0.06%  wasmtime  wasmtime           [.] std::collections::hash::map::HashMap<K,V>::new
     0.06%  wasmtime  [kernel.kallsyms]  [k] do_iter_write
     0.06%  wasmtime  wasmtime           [.] wiggle::run_in_dummy_executor::dummy_waker::clone
     0.06%  wasmtime  wasmtime           [.] core::cmp::impls::<impl core::cmp::PartialOrd for u32>::lt
     0.06%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.06%  wasmtime  [kernel.kallsyms]  [k] __inc_node_state
     0.06%  wasmtime  wasmtime           [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<hashbrown::map::HashMap<wiggle::BorrowHandle,wiggle::region::Region,std::collections::hash::map::RandomState>>
     0.06%  wasmtime  [kernel.kallsyms]  [k] _raw_read_lock
     0.06%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     0.06%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.06%  wasmtime  wasmtime           [.] <T as core::any::Any>::type_id
     0.06%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::is_null
     0.06%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_set_epi8
     0.06%  wasmtime  wasmtime           [.] hashbrown::map::HashMap<K,V,S,A>::iter
     0.06%  wasmtime  wasmtime           [.] core::convert::num::ptr_try_from_impls::<impl core::convert::TryFrom<u32> for usize>::try_from
     0.06%  wasmtime  wasmtime           [.] wasmtime::types::MemoryType::is_shared
     0.06%  wasmtime  [kernel.kallsyms]  [k] __dquot_alloc_space
     0.06%  wasmtime  wasmtime           [.] indexmap::map::IndexMap<K,V,S>::get_full
     0.06%  wasmtime  wasmtime           [.] <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     0.06%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicBool::load
     0.06%  wasmtime  wasmtime           [.] wiggle::GuestPtr<[T]>::iter
     0.06%  wasmtime  wasmtime           [.] <wasi_common::snapshots::preview_1::types::Ciovec as wiggle::guest_type::GuestType>::read
     0.06%  wasmtime  wasmtime           [.] hashbrown::raw::Bucket<T>::as_ref
     0.06%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::new
     0.06%  wasmtime  wasmtime           [.] wasi_common::file::FileEntry::capable_of
     0.06%  wasmtime  wasmtime           [.] core::mem::replace
     0.06%  wasmtime  [kernel.kallsyms]  [k] shmem_mapping
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<std::sync::rwlock::RwLockReadGuard<wasi_common::table::Inner>>
     0.06%  wasmtime  wasmtime           [.] <std::collections::hash::map::DefaultHasher as core::hash::Hasher>::finish
     0.06%  wasmtime  wasmtime           [.] std::thread::local::lazy::LazyKeyInner<T>::get
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<alloc::boxed::Box<wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker<wasmtime_cli::commands::run::Host,wasi_common::ctx::WasiCtx,wasmtime_cli::commands::run::populate_with_wasi::{{closure}}>::{{closure}}::{{closure}}>>
     0.06%  wasmtime  wasmtime           [.] <core::result::Result<T,anyhow::Error> as wasmtime::func::WasmRet>::into_abi_for_ret
     0.06%  wasmtime  wasmtime           [.] <std::collections::hash::map::RandomState as core::default::Default>::default
     0.06%  wasmtime  wasmtime           [.] wasmtime_runtime::vmcontext::VMContext::instance
     0.06%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::clone::Clone>::clone
     0.06%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.06%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_cmpeq_epi8
     0.06%  wasmtime  wasmtime           [.] <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     0.06%  wasmtime  wasmtime           [.] <Q as indexmap::equivalent::Equivalent<K>>::equivalent
     0.06%  wasmtime  wasmtime           [.] wasmtime::store::context::StoreContextMut<T>::from_raw
     0.06%  wasmtime  wasmtime           [.] wasmtime::func::Caller<T>::sub_caller
     0.06%  wasmtime  wasmtime           [.] alloc::sync::Arc<T>::from_inner
     0.06%  wasmtime  wasmtime           [.] <hashbrown::raw::inner::bitmask::BitMask as core::iter::traits::collect::IntoIterator>::into_iter
     0.06%  wasmtime  wasmtime           [.] <std::collections::hash::map::DefaultHasher as core::hash::Hasher>::write
     0.06%  wasmtime  wasmtime           [.] <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     0.06%  wasmtime  wasmtime           [.] core::sync::atomic::AtomicBool::load
     0.06%  wasmtime  wasmtime           [.] wiggle::GuestPtr<T>::mem
     0.06%  wasmtime  wasmtime           [.] alloc::alloc::box_free
     0.06%  wasmtime  [kernel.kallsyms]  [k] rw_verify_area
     0.06%  wasmtime  [kernel.kallsyms]  [k] ext4_inode_csum_set
     0.06%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::allocate_in
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::option::Option<core::result::Result<u64,wasi_common::snapshots::preview_1::types::Error>>>
     0.06%  wasmtime  wasmtime           [.] <std::sync::mutex::MutexGuard<T> as core::ops::deref::DerefMut>::deref_mut
     0.06%  wasmtime  wasmtime           [.] <core::iter::adapters::GenericShunt<I,R> as core::iter::traits::iterator::Iterator>::try_fold
     0.06%  wasmtime  wasmtime           [.] <alloc::alloc::Global as core::alloc::Allocator>::deallocate
     0.06%  wasmtime  wasmtime           [.] core::core_arch::x86::sse2::_mm_loadu_si128
     0.06%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::allocate_in
     0.06%  wasmtime  wasmtime           [.] <u32 as wiggle::guest_type::GuestType>::read
     0.06%  wasmtime  [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.06%  wasmtime  [kernel.kallsyms]  [k] ext4_block_write_begin
     0.06%  wasmtime  wasmtime           [.] hashbrown::raw::TableLayout::new
     0.06%  wasmtime  wasmtime           [.] hashbrown::raw::RawTable<T,A>::get
     0.06%  wasmtime  wasmtime           [.] <wasi_common::table::Table as wasi_common::file::TableFileExt>::get_file
     0.06%  wasmtime  wasmtime           [.] alloc::boxed::<impl core::convert::From<alloc::boxed::Box<T,A>> for core::pin::Pin<alloc::boxed::Box<T,A>>>::from
     0.06%  wasmtime  wasmtime           [.] <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     0.06%  wasmtime  wasmtime           [.] std::sys::unix::locks::futex_rwlock::RwLock::read_unlock
     0.06%  wasmtime  wasmtime           [.] alloc::raw_vec::RawVec<T,A>::current_memory
     0.06%  wasmtime  wasmtime           [.] <io_lifetimes::views::FilelikeView<Target> as core::ops::drop::Drop>::drop
     0.06%  wasmtime  wasmtime           [.] alloc::boxed::<impl core::convert::From<alloc::boxed::Box<T,A>> for core::pin::Pin<alloc::boxed::Box<T,A>>>::from
     0.06%  wasmtime  wasmtime           [.] core::ptr::drop_in_place<core::iter::traits::iterator::Iterator::for_each::call<std::io::IoSlice,alloc::vec::Vec<std::io::IoSlice>::extend_trusted<core::iter::adapters::map::Map<core::slice::iter::Iter<wiggle::GuestCow<u8>>,wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_write::{{closure}}::{{closure}}>>::{{closure}}>::{{closure}}>
     0.06%  wasmtime  wasmtime           [.] <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     0.06%  wasmtime  wasmtime           [.] <T as wasmtime::func::WasmRet>::into_abi_for_ret
     0.06%  wasmtime  wasmtime           [.] tracing_core::subscriber::Interest::never
     0.06%  wasmtime  wasmtime           [.] <wasi_cap_std_sync::file::File as wasi_common::file::WasiFile>::read_vectored
     0.06%  wasmtime  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.06%  wasmtime  wasmtime           [.] sha2::sha256::soft::sha256load
     0.06%  wasmtime  wasmtime           [.] tracing_core::field::FieldSet::iter
     0.06%  wasmtime  [kernel.kallsyms]  [k] __sb_start_write
     0.06%  wasmtime  wasmtime           [.] <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter
     0.06%  wasmtime  wasmtime           [.] <alloc::boxed::Box<T,A> as core::ops::deref::DerefMut>::deref_mut
     0.06%  wasmtime  wasmtime           [.] wasmtime_runtime::vmcontext::VMMemoryDefinition::current_length
     0.06%  wasmtime  wasmtime           [.] indexmap::map::IndexMap<K,V,S>::get_index_of
     0.06%  wasmtime  [kernel.kallsyms]  [k] __inc_node_page_state
     0.06%  wasmtime  wasmtime           [.] tracing_core::metadata::Metadata::level
     0.06%  wasmtime  [kernel.kallsyms]  [k] ext4_es_can_be_merged
     0.06%  wasmtime  wasmtime           [.] core::task::wake::Context::from_waker
